Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Estimator_26,Estimator_27,Estimator_28,Estimator_29,Estimator_30,Estimator_31,Estimator_32,Estimator_33,Estimator_34,Estimator_35,Estimator_36,Estimator_37,Estimator_38,Estimator_39,Estimator_40,Estimator_41,Estimator_42,Estimator_43,Estimator_44,Estimator_45,Estimator_46,Estimator_47,Estimator_48,Estimator_49,Estimator_50,Estimator_51,Estimator_52,Estimator_53,Estimator_54,Estimator_55,Estimator_56,Estimator_57,Estimator_58,Estimator_59,Estimator_60,Estimator_61,Estimator_62,Estimator_63,Estimator_64,Estimator_65,Estimator_66,Estimator_67,Estimator_68,Estimator_69,Estimator_70,Estimator_71,Estimator_72,Estimator_73,Estimator_74,Estimator_75,Average_Estimator
18,15,15,15,15,7,15,15,15,31,15,7,15,7,15,7,15,15,31,15,31,15,7,31,7,7,15,15,15,15,31,31,15,7,15,7,7,63,15,7,7,15,31,63,31,31,7,15,15,7,31,7,15,31,7,7,7,7,15,15,31,31,7,7,31,15,31,15,15,7,15,15,15,15,15,15,17.1333
19,15,15,15,15,7,31,15,15,31,15,7,15,7,15,7,15,15,31,15,31,15,7,31,15,7,15,15,15,15,31,31,15,7,15,7,7,63,15,7,7,15,31,63,31,31,7,15,15,7,31,7,15,31,7,15,15,7,15,15,31,31,7,7,31,15,31,15,15,7,15,31,15,15,15,15,17.88
20,15,15,15,15,7,31,15,15,31,15,7,15,7,15,7,15,15,31,15,31,15,7,31,15,7,31,15,15,15,31,63,15,7,15,7,7,63,15,7,7,15,31,63,31,31,7,15,15,15,31,7,15,31,7,15,15,7,15,15,31,31,7,7,31,15,63,15,15,7,15,31,15,31,15,15,19.2667
21,15,15,15,15,7,31,15,15,31,15,7,15,15,15,7,15,15,31,15,31,15,7,31,15,7,31,15,15,15,31,63,15,7,15,15,15,63,15,7,7,15,31,63,31,31,7,15,15,15,31,7,31,31,7,15,15,7,31,15,31,63,7,7,31,15,63,15,15,7,15,31,15,31,15,31,20.6533
22,15,15,15,15,7,31,15,31,31,15,7,15,15,15,7,15,15,31,15,31,15,7,63,15,15,31,31,15,15,31,63,15,7,15,15,15,63,15,7,7,15,31,63,31,31,15,15,15,15,31,15,31,31,7,15,15,7,31,15,31,63,7,7,31,15,63,15,15,7,15,31,15,31,15,31,21.8267
23,15,15,15,15,15,31,15,31,31,31,7,15,15,15,7,15,15,31,15,31,15,7,63,15,15,31,31,15,15,31,63,15,7,15,15,31,63,15,7,15,15,31,63,31,31,15,15,15,15,31,15,31,31,7,15,15,7,31,15,31,63,15,7,31,15,63,15,31,7,15,31,15,31,15,31,22.7867
24,15,15,15,15,15,31,15,31,31,31,7,15,15,15,7,15,15,31,15,31,15,7,63,15,15,31,31,15,15,31,63,15,7,15,15,31,63,15,15,15,31,31,63,31,31,15,15,15,15,31,15,31,31,7,15,15,7,31,15,63,63,15,7,31,15,63,15,63,7,15,31,15,31,15,31,23.96
25,15,15,15,15,15,31,15,63,31,31,7,15,15,15,7,15,15,31,15,31,15,7,63,15,15,31,31,15,15,31,63,31,15,15,15,31,63,15,15,15,31,31,63,31,31,15,15,15,15,31,15,31,31,7,15,15,7,31,15,63,63,15,7,31,15,63,15,63,7,15,31,15,31,15,31,24.7067
26,15,15,15,15,15,31,15,63,31,31,7,15,15,15,7,15,15,31,15,31,15,7,63,15,31,31,31,15,15,31,63,31,15,15,15,31,63,15,15,15,31,31,63,31,31,15,15,15,15,31,15,31,63,7,15,15,7,31,15,63,63,15,7,31,15,63,15,63,7,15,31,15,31,15,31,25.3467
27,15,15,15,15,15,31,15,63,31,63,7,15,15,15,7,15,15,31,15,31,15,7,63,15,31,31,31,15,15,31,63,31,15,15,15,63,63,31,15,15,31,31,63,31,31,15,15,15,31,31,15,31,63,7,31,15,7,31,15,63,63,15,7,31,15,63,15,63,7,15,31,15,31,15,31,26.84
